2024-05-18 21:16:54,331 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Configure stats pid to 346316
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Loading settings from /home/minjae/.config/wandb/settings
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Loading settings from /home/minjae/Documents/Research/popodice/wandb/settings
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_example/online/run_ppo.py', 'program_abspath': '/home/minjae/Documents/Research/popodice/run_example/online/run_ppo.py', 'program': '/home/minjae/Documents/Research/popodice/run_example/online/run_ppo.py'}
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_init.py:_log_setup():520] Logging user logs to /home/minjae/Documents/Research/popodice/wandb/run-20240518_211654-a753fa10-68d0-408b-97fc-375b91357ea1/logs/debug.log
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_init.py:_log_setup():521] Logging internal logs to /home/minjae/Documents/Research/popodice/wandb/run-20240518_211654-a753fa10-68d0-408b-97fc-375b91357ea1/logs/debug-internal.log
2024-05-18 21:16:54,332 INFO    MainThread:346316 [wandb_init.py:init():560] calling init triggers
2024-05-18 21:16:54,333 INFO    MainThread:346316 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'project': 'purpose', 'name': 'ppo-d1d6-seed1', 'task': 'MetaGym-MT1', 'algo_name': 'ppo', 'group': 'MetaGym-MT1-seed-1', 'logdir': 'log/ppo-d1d6-seed1/MetaGym-MT1-seed-1', 'env_type': 'MetaGym', 'agent_type': 'MT1', 'task_name': 'lever-pull', 'task_num': 1, 'seeds': [1, 3, 5, 7, 9], 'actor_hidden_dims': (256, 256), 'hidden_dims': (256, 256), 'K_epochs': 5, 'eps_clip': 0.2, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'epoch': 2000, 'step_per_epoch': 50, 'episode_len': 1000, 'episode_num': 4, 'eval_episodes': 3, 'rendering': True, 'import_policy': False, 'verbose': True, 'device': device(type='cuda', index=0), 'rendering_path': 'MetaGym-MT1', 'obs_shape': (39,), 'action_dim': 4, 'max_action': 1.0, 'embed_dim': 1}
2024-05-18 21:16:54,333 INFO    MainThread:346316 [wandb_init.py:init():610] starting backend
2024-05-18 21:16:54,333 INFO    MainThread:346316 [wandb_init.py:init():614] setting up manager
2024-05-18 21:16:54,334 INFO    MainThread:346316 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-18 21:16:54,336 INFO    MainThread:346316 [wandb_init.py:init():622] backend started and connected
2024-05-18 21:16:54,338 INFO    MainThread:346316 [wandb_init.py:init():711] updated telemetry
2024-05-18 21:16:54,339 INFO    MainThread:346316 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-18 21:16:54,798 INFO    MainThread:346316 [wandb_run.py:_on_init():2396] communicating current version
2024-05-18 21:16:55,045 INFO    MainThread:346316 [wandb_run.py:_on_init():2405] got version response 
2024-05-18 21:16:55,045 INFO    MainThread:346316 [wandb_init.py:init():795] starting run threads in backend
2024-05-18 21:16:57,366 INFO    MainThread:346316 [wandb_run.py:_console_start():2374] atexit reg
2024-05-18 21:16:57,366 INFO    MainThread:346316 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-18 21:16:57,366 INFO    MainThread:346316 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-18 21:16:57,366 INFO    MainThread:346316 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-18 21:16:57,367 INFO    MainThread:346316 [wandb_init.py:init():838] run started, returning control to user process
2024-05-18 21:17:11,676 WARNING MsgRouterThr:346316 [router.py:message_loop():77] message_loop has been closed
